속초시외버스터미널,38.213725086380500 ,128.594138000815000 
해담은모텔,38.230524285415300 ,128.584231178213000 
체스터톤스속초,38.194289299999700 ,128.580031499999000 
더클래스300,38.184321499999500 ,128.600213399999000 
옥란푸딩,38.196936329024200 ,128.536674508322000 
메종설악,38.165876068518900 ,128.544077623872000 
주문진다방,37.892610400228400 ,128.827638055179000 
움트다,37.836015308381900 ,128.872326807101000 
허씨커피,37.789622034813100 ,128.922352615418000 
카페베네강릉안목점,37.770793520928900 ,128.949469152325000 
프라이데이 강릉점,37.764076999991200 ,128.900775184617000 
나인,37.726649410712800 ,128.841654926922000 
카페미로,37.665535757278700 ,129.052857370971000 
커피파운더,33.498560462506400 ,126.528660337335000 
소소밀,33.463605236229100 ,126.530936468884000 
대학나무,33.519927503493900 ,126.496416735710000 
파스쿠찌제주한라병원점,33.489955471724000 ,126.485762797219000 
낭만주의,33.495525428679400 ,126.437599009186000 
달콤커피 볼륨1603 제주하귀점,33.484759583005100 ,126.406008623904000 
만월경 제주애월점,33.477634508077700 ,126.362839794940000 
